Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Total_Number_of_Reviews,Positive_Review,Reviewer_Score
" s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands",194,1/3/2017,7.7,Hotel Arena," Russia ",so long comment,1403," Only the park outside of the hotel was beautiful ",2.9
" s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands",194,8/3/2017,7.7,Hotel Arena," Ireland ",No Negative,1403," No real complaints the hotel was great great location surroundings rooms amenities and service Two recommendations however firstly the staff upon check in are very confusing regarding deposit payments and the staff offer you upon checkout to refund your original payment and you can make a new one Bit confusing Secondly the on site restaurant is a bit lacking very well thought out and excellent quality food for anyone of a vegetarian or vegan background but even a wrap or toasted sandwich option would be great Aside from those minor minor things fantastic spot and will be back when i return to Amsterdam ",7.5
" s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands",194,2/4/2017,7.7,Hotel Arena," Australia "," Rooms are nice but for elderly a bit difficult as most rooms are two story with narrow steps So ask for single level Inside the rooms are very very basic just tea coffee and boiler and no bar empty fridge ",1403," Location was good and staff were ok It is cute hotel the breakfast range is nice Will go back ",7.1
" s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands",194,3/5/2017,7.7,Hotel Arena," United Kingdom "," My room was dirty and I was afraid to walk barefoot on the floor which looked as if it was not cleaned in weeks White furniture which looked nice in pictures was dirty too and the door looked like it was attacked by an angry dog My shower drain was clogged and the staff did not respond to my request to clean it On a day with heavy rainfall a pretty common occurrence in Amsterdam the roof in my room was leaking luckily not on the bed you could also see signs of earlier water damage I also saw insects running on the floor Overall the second floor of the property looked dirty and badly kept On top of all of this a repairman who came to fix something in a room next door at midnight was very noisy as were many of the guests I understand the challenges of running a hotel in an old building but this negligence is inconsistent with prices demanded by the hotel On the last night after I complained about water damage the night shift manager offered to move me to a different room but that offer came pretty late around midnight when I was already in bed and ready to sleep ",1403," Great location in nice surroundings the bar and restaurant are nice and have a lovely outdoor area The building also has quite some character ",3.8
" s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands",194,4/6/2017,7.7,Hotel Arena," New Zealand "," You When I booked with your company on line you showed me pictures of a room I thought I was getting and paying for and then when we arrived that s room was booked and the staff told me we could only book the villa suite theough them directly Which was completely false advertising After being there we realised that you have grouped lots of rooms on the photos together leaving me the consumer confused and extreamly disgruntled especially as its my my wife s 40th birthday present Please make your website more clear through pricing and photos as again I didn t really know what I was paying for and how much it had wnded up being Your photos told me I was getting something I wasn t Not happy and won t be using you again ",1403," Amazing location and building Romantic setting ",6.7
" s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands",194,5/7/2017,7.7,Hotel Arena," Poland "," Backyard of the hotel is total mess shouldn t happen in hotel with 4 stars ",1403," Good restaurant with modern design great chill out place Great park nearby the hotel and awesome main stairs ",6.7
" s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands",194,6/8/2017,7.7,Hotel Arena," United Kingdom "," Cleaner did not change our sheet and duvet everyday but just made bed They also didn t clean the floor and changed the body gel when we run out of it ",1403," The room is spacious and bright The hotel is located in a quiet and beautiful park ",4.6
" s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands",194,7/9/2017,7.7,Hotel Arena," United Kingdom "," Apart from the price for the brekfast Everything very good",1403," Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ",10
" s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands",194,3/9/2017,7.7,Hotel Arena," Belgium "," Even though the pictures show very clean rooms the actual room was quit dirty and outlived Also check in is at 15 o clock but our room was not ready at that time",1403,No Positive,6.5
" s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands",194,4/10/2017,7.7,Hotel Arena," Norway "," The aircondition makes so much noise and its hard to sleep at night ",1403," The room was big enough and the bed is good The breakfast food and service on the hotel is good outside the hotel there is a big park which is very good for walk in the morning and evening Many people are having picnics and do some bicycling ",7.9
" s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands",194,7/11/2017,7.7,Hotel Arena," United Kingdom "," Nothing all great ",1403," Rooms were stunningly decorated and really spacious in the top of the building Pictures are of room 300 The true beauty of the building has been kept but modernised brilliantly Also the bath was lovely and big and inviting Great more for couples Restaurant menu was a bit pricey but there were loads of little eatery places nearby within walking distance and the tram stop into the centre was about a 6 minute walk away and only about 3 or 4 stops from the centre of Amsterdam Would recommend this hotel to anyone it s unbelievably well priced too ",10
" s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands",194,7/12/2017,7.7,Hotel Arena," France "," 6 30 AM started big noise workers loading wood down the windows Stupid room numbering system it took 20 Minutes with a night guard finally to find our rooms The check in staff pointed us in the wrong direction No late dinner bar closes at 1 am Ugly view on trash lorry from windows No information about the computerized telephone Huge price difference between booking Com price 166 euros and hotel price 260 ",1403," Style location rooms",5.8
" s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands",194,1/1/2018,7.7,Hotel Arena," United Kingdom "," The floor in my room was filfy dirty Very basic rooms I had a 20yr old tv in my room Fridge did not work Overpriced breakfast ",1403," Comfy bed good location ",4.6
" s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands",194,2/2/2018,7.7,Hotel Arena," Italy ",No Negative,1403," This hotel is being renovated with great care and with an appreciation for its unique structure and location My spacious and comfortable room had a large double paned glass window onto the lush greenery of the park The breakfast selection was spectacular All considered this was a great hotel for the price and I plan to return ",9.2